id,name,buildingType,specificBuildingType,description,closedDays,openHour,closeHour,notes

1,"Caveshovel's School","EDUCATIONAL","school","School for children","[6,7]",9,17,""
2,"Tizamky School","EDUCATIONAL","school","School for children","[6,7]",9,17,""
3,"Pantheon of Zyneas","RELIGIOUS","temple","Pantheon worshipping Zyneas","[]",9,17,""
4,"Sanctum of Phazbus","RELIGIOUS","temple","Sanctum worshipping Phazbus","[]",9,17,""
5,"Good Lance Headquarters","FACTION","mercenary company","Mercenary company",,,,""
6,"Pagoda of Biius","RELIGIOUS","temple","Pagoda worshipping Biius","[]",9,17,""
7,"The Distinguished Flats","RESIDENCE","house share","Shared home",,,,""
8,"The Refined Flats","RESIDENCE","house share","Shared home",,,,""
9,"The Baequivalsa Residence","RESIDENCE","secret cult front","Front for a secret cult",,,,""
10,"The Burrowshout Residence","RESIDENCE","secret cult front","Front for a secret cult",,,,""
11,"The Sinoprin Residence","RESIDENCE","secret cult front","Front for a secret cult",,,,""
12,"The Hammerdon Residence","RESIDENCE","secret cult front","Front for a secret cult",,,,""
13,"The Dazzling Flats","RESIDENCE","house share","Shared home",,,,""
14,"The Respected Flats","RESIDENCE","house share","Shared home",,,,""
15,"The Harmonious Flats","RESIDENCE","house share","Shared home",,,,""
16,"The Exquisite Flats","RESIDENCE","house share","Shared home",,,,""
17,"The Intelligent Flats","RESIDENCE","house share","Shared home",,,,""
18,"The Whoring Love","TAVERN","brothel","Brothel","[]",11,1,""
19,"The Mountain and Elk","TAVERN","brothel","Brothel","[]",11,1,""
20,"The Beautiful Flats","RESIDENCE","house share","Shared home",,,,""
21,"The Cleanly Flats","RESIDENCE","house share","Shared home",,,,""
22,"The Lustrous Flats","RESIDENCE","house share","Shared home",,,,""
23,"The Hungry Flats","RESIDENCE","house share","Shared home",,,,""
24,"The Honorary Flats","RESIDENCE","house share","Shared home",,,,""
25,"Library of Phazbus","RELIGIOUS","religious library","Library of Phazbus, dedicated to religious study","[]",9,17,""
26,"The Prestigious Flats","RESIDENCE","house share","Shared home",,,,""
27,"The Golden Flats","RESIDENCE","house share","Shared home",,,,""
